jmdict_id,kanji,reading,waller_level,freq_rank,freq_level,audit_level,reason
1291230,差し出す,さしだす,1,810,4,2,"Formal/literary ""to present; to hold out"" — N2"
1471250,破壊,はかい,1,816,4,2,Destruction — common in media and daily language
1483380,扉,とびら,1,850,4,3,Door/gate — concrete everyday noun
1452400,同士,どうし,1,856,4,2,"Suffix ""fellow; mutual"" — N2 grammar pattern"
1153430,扱い,あつかい,1,873,4,2,Treatment; handling — N2 nominalization
1351600,証拠,しょうこ,1,878,4,2,Evidence/proof — common word
1366410,人,じん,1,880,4,2,"Suffix -人 ""person from"" — N2 word formation"
1195960,過ぎ,すぎ,1,894,4,3,"Suffix -すぎ ""too much"" — very common from N3"
1590970,完璧,かんぺき,1,899,4,2,Perfect — common colloquial word
1281830,行為,こうい,1,902,4,2,Act/deed — formal but common
1309530,思考,しこう,1,910,4,2,Thought/thinking — N2
1392570,前,ぜん,1,912,4,2,"Prefix 前- ""former/previous"" — N2"
1553310,了解,りょうかい,1,940,4,3,Understood/roger — extremely common in daily use
1363780,真実,しんじつ,1,951,4,2,Truth — N2
1409840,対応,たいおう,1,959,4,2,Correspondence; response — common business/daily word
1164170,一切,いっさい,1,970,4,2,All; everything; not at all — N2
1188530,何より,なにより,1,981,4,2,Above all — N2 expression
1536000,問う,とう,1,983,4,2,To question — literary but N2
1009020,,どうやら,1,988,4,2,Apparently; seemingly — N2 adverb
1351510,衝撃,しょうげき,1,994,4,2,Shock/impact — N2
1350780,焦る,あせる,1,998,4,2,To be impatient/flustered — common N2 verb
1008990,,どうにか,1,1025,4,2,Somehow — N2 adverb
1545790,様,さま,1,1027,4,3,Honorific suffix -様 — used from early intermediate
1602120,日々,ひび,1,1033,4,2,Day by day; daily — N2
1329630,受け止める,うけとめる,1,1037,4,2,To catch; to take seriously — compound verb N2
1000360,,あっさり,1,1039,4,2,Easily; simply — N2 onomatopoeia
1271510,護衛,ごえい,1,1041,4,1,Escort/guard — specialized vocabulary
1472730,背後,はいご,1,1046,4,2,Behind; rear — N2
1279700,構える,かまえる,1,1055,4,2,To set up; to assume a stance — N2
1477350,発言,はつげん,1,1065,4,2,Statement; remark — N2
1467550,認識,にんしき,1,1068,4,2,Recognition; awareness — N2
1000520,,あら,1,1072,4,1,"Interjection ""oh!"" — informal; hard to level"
1444150,吐く,つく,1,1073,4,2,To vomit; to spit — common verb N2
1270190,御,ご,1,1081,4,3,Honorific prefix ご/お — basic politeness from N3
1205870,確信,かくしん,1,1110,4,2,Conviction; certainty — N2
1288790,込める,こめる,1,1112,4,2,To put into; to load — common N2 verb
1317490,自覚,じかく,1,1113,4,2,Self-awareness — N2
1605320,漏らす,もらす,1,1126,4,2,To leak; to let slip — N2
1431810,沈黙,ちんもく,1,1134,4,2,Silence — N2
1286060,告白,こくはく,1,1136,4,2,Confession — very common in Japanese media
1571320,舐める,なめる,1,1137,4,2,To lick; to underestimate — N2
