jmdict_id,kanji,reading,waller_level,freq_rank,freq_level,audit_level,reason
1279060,控える,ひかえる,1,1529,3,2,Common verb in daily/business use — to refrain or hold back
1374940,制服,せいふく,1,1542,3,2,Uniform — common school/work word
1403760,促す,うながす,1,1552,3,2,To urge/prompt — formal but frequently encountered
1581310,側,がわ,1,1555,3,3,Extremely common suffix (右側 etc.) — used from early intermediate
1402400,装備,そうび,1,1558,3,2,Equipment — common but not beginner
1205920,確保,かくほ,1,1577,3,2,To secure/ensure — common in news and business
1009500,,なんか,1,1596,3,3,Colloquial particle used constantly in speech
1397310,素早い,すばやい,1,1598,3,2,Quick/nimble — common adjective
1470380,脳,のう,1,1608,3,2,Brain — common word but intermediate kanji
1438340,天井,てんじょう,1,1611,3,2,Ceiling — household word
1199470,回収,かいしゅう,1,1612,3,2,Collection/retrieval — common
1228170,及ぶ,およぶ,1,1614,3,1,Formal verb — to reach/extend to; literary register
1154340,,くらい,1,1625,3,4,"Basic particle ""about/approximately"" taught early"
1010530,只管,ひたすら,1,1628,3,2,Earnestly/intently — common adverb in writing
1548520,絡む,からむ,1,1629,3,2,To get entangled/involved — common
1397220,素材,そざい,1,1631,3,2,Material/ingredient — common
1213680,監視,かんし,1,1634,3,2,Surveillance/monitoring — common
1076000,,タイミング,1,1636,3,3,Very common loanword used in everyday speech
1379690,盛り上がる,もりあがる,1,1649,3,2,To get excited/lively — very common colloquial
1238660,驚き,おどろき,1,1661,3,2,Surprise (noun form of 驚く N3)
1605810,世,よ,1,1666,3,2,World/era — common in compounds and standalone
1385450,接触,せっしょく,1,1671,3,2,Contact — somewhat formal but common
1386440,説得,せっとく,1,1674,3,2,Persuasion — common word
1310410,施設,しせつ,1,1676,3,2,Facility — very common word
1386060,設定,せってい,1,1692,3,2,Setting/configuration — extremely common
1316890,治療,ちりょう,1,1702,3,2,Medical treatment — common
1548570,落ち込む,おちこむ,1,1706,3,2,To feel depressed — very common colloquial
1606710,態々,わざわざ,1,1719,3,2,Deliberately/going out of one's way — common adverb
1225090,技,わざ,1,1723,3,2,Technique/skill — common
1530670,無茶,むちゃ,1,1730,3,2,Unreasonable/reckless — common colloquial
1456895,突く,つつく,1,1734,3,2,To poke/prod — common verb
1270850,悟る,さとる,1,1735,3,1,To realize deeply/attain enlightenment — literary
1433280,通常,つうじょう,1,1737,3,2,Usually/normally — very common
1272110,交渉,こうしょう,1,1741,3,2,Negotiation — common
1516780,放置,ほうち,1,1752,3,2,To leave alone/neglect — common
1453680,導く,みちびく,1,1753,3,2,To guide/lead — common
1450440,逃れる,のがれる,1,1754,3,2,To escape from — common
1604670,見逃す,みのがす,1,1773,3,2,To overlook/miss — common compound verb
1467260,任務,にんむ,1,1777,3,2,Mission/duty — common
1539390,優先,ゆうせん,1,1780,3,2,Priority — common
1294170,最早,もはや,1,1782,3,1,Already/no longer — literary adverb
1590750,交わす,かわす,1,1791,3,2,To exchange (words/blows) — common
1499290,部,ぶ,1,1795,3,3,Section/department/club — very basic suffix
1499350,部下,ぶか,1,1798,3,2,Subordinate — common business word
1416520,脱出,だっしゅつ,1,1801,3,2,Escape — common
1585360,歪む,ゆがむ,1,1805,3,1,To warp/distort — somewhat literary
1419120,鍛える,きたえる,1,1807,3,2,To train/forge — common
1421090,地獄,じごく,1,1815,3,2,Hell — common cultural word
1459030,内部,ないぶ,1,1823,3,2,Interior/inside — common
1381160,誠に,まことに,1,1825,3,1,Truly/sincerely — formal/literary register
1370090,尽くす,つくす,1,1838,3,1,To exhaust/devote oneself — literary
1500700,復活,ふっかつ,1,1842,3,2,Revival/resurrection — common
1173800,映像,えいぞう,1,1844,3,2,Video/footage — very common modern word
1558800,恋愛,れんあい,1,1849,3,2,Romantic love — very common
1309940,指摘,してき,1,1852,3,2,To point out — common
1451850,同意,どうい,1,1858,3,2,Agreement/consent — common
1124860,,ポイント,1,1870,3,3,Point — extremely common loanword
1428230,挑む,いどむ,1,1879,3,1,To challenge — somewhat literary
1390660,戦力,せんりょく,1,1888,3,1,Military strength — specialized
1537760,矢,や,1,1891,3,2,Arrow — common word
1245100,愚か,おろか,1,1893,3,1,Foolish — literary register
1011660,,ほっと,1,1895,3,3,Sigh of relief — common onomatopoeia
1429340,超,ちょう,1,1898,3,3,Super/ultra — extremely common colloquial prefix
1583370,匹,ひき,1,1908,3,4,Counter for small animals — taught early
1355930,嬢,じょう,1,1918,3,1,Young lady (suffix) — formal/literary
1354910,乗り込む,のりこむ,1,1920,3,2,To board/get into — common compound verb
1156690,意図,いと,1,1929,3,2,Intention — common
1223550,貴族,きぞく,1,1930,3,1,Aristocrat — specialized vocabulary
1559700,連中,れんちゅう,1,1937,3,2,Those guys/bunch — common colloquial
1320280,嫉妬,しっと,1,1950,3,1,Jealousy — complex kanji
1361130,振り,ふり,1,1957,3,2,Pretense/manner — common
1581210,嘗て,かつて,1,1959,3,2,Once/formerly — common adverb
1477120,発,はつ,1,1973,3,2,Counter for departures — common
1573190,齎す,もたらす,1,1974,3,1,To bring about — literary verb
1323290,遮る,さえぎる,1,1977,3,1,To block/interrupt — somewhat literary
1259920,見渡す,みわたす,1,1978,3,2,To look out over — common compound
1605980,余程,よほど,1,1979,3,2,Considerably — common adverb
1012520,若しかして,もしかして,1,1981,3,3,Perhaps/maybe — extremely common phrase
1499100,舞う,まう,1,1982,3,1,To dance (traditional) — literary
1271480,誤魔化す,ごまかす,1,2001,3,2,To deceive/fudge — common colloquial
1410070,対処,たいしょ,1,2012,3,2,To cope with/deal with — common
1208870,叶う,かなう,1,2013,3,2,To come true/be fulfilled — common
1292390,再会,さいかい,1,2024,3,2,Reunion — common
1315120,字,あざ,1,2026,3,1,District name reading — specialized
1343310,所属,しょぞく,1,2028,3,2,Affiliation/belonging — common
1432710,痛む,いたむ,1,2029,3,2,To ache/hurt — common
1154910,闇,やみ,1,2033,3,1,Darkness — literary
1590440,傍ら,かたわら,1,2034,3,1,Beside/while — literary
1497930,負う,おう,1,2036,3,1,To bear/owe — literary/formal
1202880,開発,かいはつ,1,2038,3,2,Development — very common
2830551,余っ程,よっぽど,1,2047,3,2,Considerably (colloquial variant of よほど)
1442100,伝説,でんせつ,1,2051,3,2,Legend — common
1158760,衣装,いしょう,1,2061,3,2,Costume/outfit — common
1320300,室,しつ,1,2069,3,2,Room (suffix) — common
1210870,勘弁,かんべん,1,2081,3,2,Pardon/forgive — common colloquial
1391160,染める,そめる,1,2082,3,2,To dye — common verb
1320800,実,じつ,1,2084,3,2,Truth/reality (prefix) — common
1188350,何だか,なんだか,1,2090,3,3,Somehow/for some reason — very common
1351580,証,あかし,1,2096,3,1,Proof — literary reading
1481550,犯す,おかす,1,2098,3,2,To commit (a crime) — common
1524640,毎,ごと,1,2101,3,3,Every (suffix) — very common
1416680,たどり着く,たどりつく,1,2109,3,2,To finally arrive at — common
1239700,曲,きょく,1,2114,3,3,Song/tune — very common
1250600,掲げる,かかげる,1,2118,3,1,To hold up/advocate — formal
1279000,拘束,こうそく,1,2122,3,1,Restraint/detention — formal
1244720,駆ける,かける,1,2137,3,2,To run/dash — common
1570710,翔る,かける,1,2139,3,1,To soar — literary
1312690,資格,しかく,1,2140,3,2,Qualification — common
1007480,,だらけ,1,2141,3,3,Covered in/full of — common suffix
1587770,威力,いりょく,1,2144,3,1,Power/might — somewhat specialized
1236620,強烈,きょうれつ,1,2149,3,2,Intense/powerful — common
